Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop
Kuwait,342,25,,,81,261,15,80,
Taiwan,339,10,5,,50,284,,14,0.2
Runion,308,27,,,40,268,3,344,
Belarus,304,141,4,2,53,247,11,32,0.4
Burkina Faso,288,6,16,,50,222,,14,0.8
Cameroon,284,51,7,1,10,267,,11,0.3
Jordan,278,,5,,36,237,5,27,0.5
Albania,277,18,16,1,67,194,7,96,6
Afghanistan,239,2,4,,10,225,,6,0.1
San Marino,236,,28,,13,195,16,6955,825
Cuba,233,21,6,,13,214,7,21,0.5
Oman,231,21,1,,57,173,3,45,0.2
Vietnam,227,9,,,75,152,3,2,
Honduras,219,47,14,4,3,202,4,22,1
Ghana,204,9,5,,31,168,2,7,0.2
Malta,196,8,,,2,194,2,444,
Senegal,195,5,1,,55,139,,12,0.06
Channel Islands,193,21,3,,,190,,1110,17
Uzbekistan,190,9,2,,25,163,8,6,0.06
Ivory Coast,190,,1,,9,180,,7,0.04
Faeroe Islands,177,4,,,81,96,1,3622,
Nigeria,174,,2,,9,163,,0.8,0.01
Mauritius,169,8,7,1,,162,1,133,6
Palestine,160,26,1,,18,141,,31,0.2
Sri Lanka,151,5,4,1,21,126,5,7,0.2
Venezuela,144,,3,,43,98,6,5,0.1
Montenegro,144,21,2,,,142,4,229,3
Martinique,135,,3,,27,105,16,360,8
Brunei,133,2,1,,56,76,3,304,2
Georgia,131,14,,,26,105,6,33,
Guadeloupe,125,,6,,24,95,14,312,15
DRC,123,14,11,2,3,109,,1,0.1
Bolivia,123,8,8,1,1,114,3,11,0.7
Mayotte,116,15,1,,10,105,3,425,4
Kyrgyzstan,116,5,,,5,111,5,18,
Kenya,110,29,3,2,4,103,2,2,0.06
Cambodia,110,1,,,34,76,1,7,
Isle of Man,95,27,1,,,94,,1117,12
Trinidad and Tobago,90,,5,,1,84,,64,4
Gibraltar,88,7,,,46,42,,2612,
Rwanda,82,,,,,82,,6,
Paraguay,77,8,3,,2,72,4,11,0.4
Liechtenstein,75,3,,,,75,,1967,
Niger,74,,5,,,69,,3,0.2
Aruba,60,5,,,1,59,,562,
Madagascar,59,2,,,,59,6,2,
Bangladesh,56,2,6,,25,25,1,0.3,0.04
Monaco,55,,1,,2,52,2,1402,25
Guinea,52,22,,,,52,,4,
French Guiana,51,,,,15,36,,171,
Guatemala,46,7,1,,12,33,1,3,0.06
Barbados,45,,,,,45,,157,
Jamaica,44,,3,,2,39,,15,1
Uganda,44,,,,,44,,1.0,
El Salvador,41,8,2,,,39,4,6,0.3
Macao,41,,,,10,31,,63,
Djibouti,40,7,,,,40,,40,
Zambia,39,3,1,1,,38,,2,0.05
French Polynesia,37,,,,,37,1,132,
Togo,36,,2,,10,24,,4,0.2
Bermuda,32,,,,10,22,,514,
Mali,31,,3,,,28,,2,0.1
Ethiopia,29,,,,3,26,2,0.3,
Congo,22,,2,,2,18,,4,0.4
Cayman Islands,22,,1,,,21,,335,15
Saint Martin,22,,1,,2,19,,569,26
Bahamas,21,,1,,1,19,,53,3
Myanmar,20,4,1,,,19,,0.4,0.02
Tanzania,20,,1,,2,17,,0.3,0.02
Guyana,19,,4,1,,15,,24,5
Maldives,19,,,,13,6,,35,
Gabon,18,,1,,,17,,8,0.4
Eritrea,18,3,,,,18,,5,
New Caledonia,18,2,,,1,17,,63,
Syria,16,6,2,,,14,,0.9,0.1
Sint Maarten,16,,1,,6,9,,373,23
Haiti,16,,,,1,15,,1,
Equatorial Guinea,15,,,,1,14,,11,
Mongolia,14,,,,2,12,,4,
Namibia,14,,,,2,12,,6,
Benin,13,,,,1,12,,1,
Saint Lucia,13,,,,1,12,,71,
Dominica,12,,,,,12,,167,
Curaao,11,,1,,3,7,,67,6
Greenland,10,,,,2,8,,176,
Grenada,10,1,,,,10,,89,
Laos,10,,,,,10,,1,
Libya,10,,,,,10,,1,
Mozambique,10,,,,,10,,0.3,
Seychelles,10,,,,,10,,102,
Suriname,10,,,,,10,,17,
MS Zaandam,9,,2,,,7,,,
Guinea-Bissau,9,,,,,9,,5,
Eswatini,9,,,,,9,,8,
Angola,8,,2,,1,5,,0.2,0.06
Sudan,8,1,2,,2,4,,0.2,0.05
Zimbabwe,8,,1,,,7,,0.5,0.07
Saint Kitts and Nevis,8,,,,,8,,150,
Antigua and Barbuda,7,,,,,7,,71,
Chad,7,,,,,7,,0.4,
Fiji,7,2,,,,7,,8,
Cabo Verde,6,,1,,,5,,11,2
Mauritania,6,,1,,2,3,,1,0.2
Nepal,6,1,,,1,5,,0.2,
Vatican City,6,,,,,6,,7491,
Liberia,6,,,,,6,,1,
St. Barth,6,,,,1,5,,607,
Turks and Caicos,6,,,,,6,,155,
Nicaragua,5,,1,,,4,,0.8,0.2
Bhutan,5,1,,,1,4,,6,
Montserrat,5,,,,,5,,1002,
Somalia,5,,,,1,4,,0.3,
Botswana,4,,1,,,3,,2,0.4
Gambia,4,,1,,2,1,,2,0.4
Anguilla,3,1,,,,3,,200,
Belize,3,,,,,3,,8,
British Virgin Islands,3,,,,,3,,99,
Burundi,3,1,,,,3,,0.3,
CAR,3,,,,,3,,0.6,
Caribbean Netherlands,2,,,,,2,,76,
St. Vincent Grenadines,2,,,,1,1,,18,
Sierra Leone,2,,,,,2,,0.3,
Papua New Guinea,1,,,,,1,,0.1,
Timor-Leste,1,,,,,1,,0.8,
China,81589,35,3318,6,76408,1863,429,57,2
