Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
Bahrain,811,55,4,,458,349,4,477,2,47684,28023
Bosnia and Herzegovina,764,90,33,4,68,663,4,233,10,5934,1809
Kuwait,743,78,1,,105,637,23,174,0.2,,
Azerbaijan,717,76,8,1,44,665,23,71,0.8,53300,5257
Diamond Princess,712,,11,,619,82,10,,,,
Kazakhstan,685,23,6,,50,629,16,36,0.3,54767,2917
Cameroon,658,,9,,17,632,,25,0.3,,
North Macedonia,599,29,26,3,30,543,15,288,12,5879,2822
Tunisia,596,,22,,25,549,39,50,2,7725,654
Slovakia,581,47,2,,13,566,3,106,0.4,17639,3231
Bulgaria,577,28,23,1,42,512,21,83,3,15899,2288
Lebanon,548,7,19,,62,467,29,80,3,10221,1497
Latvia,548,6,2,1,16,530,5,291,1,22575,11969
Andorra,525,,21,,31,473,12,6795,272,,
Uzbekistan,504,47,2,,30,472,8,15,0.06,,
Cyprus,494,29,9,,47,438,13,409,7,13017,10781
Costa Rica,467,,2,,18,447,14,92,0.4,5363,1053
Afghanistan,423,56,14,3,18,391,,11,0.4,,
Uruguay,415,,6,,123,286,14,119,2,5385,1550
Cuba,396,46,11,2,27,358,12,35,1.0,7054,623
Albania,383,6,22,1,131,230,7,133,8,2753,957
Taiwan,376,3,5,,61,310,,16,0.2,39011,1638
Oman,371,40,2,,67,302,3,73,0.4,,
Burkina Faso,364,,18,,108,238,,17,0.9,,
Jordan,353,4,6,,138,209,5,35,0.6,17000,1666
Runion,349,,,,40,309,4,390,,,
Channel Islands,335,12,7,,34,294,,1927,40,1157,6655
Ivory Coast,323,,3,,41,279,,12,0.1,,
Honduras,305,7,22,,6,277,10,31,2,,
Malta,293,52,,,5,288,4,664,,10923,24738
Ghana,287,73,5,,31,251,2,9,0.2,,
San Marino,277,,32,,35,210,14,8164,943,586,17270
Mauritius,268,24,7,,8,253,3,211,6,4913,3863
Palestine,261,7,1,,42,218,,51,0.2,15140,2968
Niger,253,,10,,26,217,,10,0.4,4081,169
Vietnam,249,4,,,123,126,8,3,,106399,1093
Montenegro,241,8,2,,4,235,7,384,3,1722,2742
Nigeria,238,,5,,35,198,2,1,0.02,5000,24
Senegal,237,11,2,,105,130,1,14,0.1,,
Kyrgyzstan,228,12,4,,33,191,5,35,0.6,9618,1474
Georgia,195,7,3,1,46,146,6,49,0.8,2762,692
Bolivia,194,11,14,3,2,178,3,17,1,591,51
Sri Lanka,185,7,6,1,42,137,5,9,0.3,3248,152
Faeroe Islands,184,1,,,120,64,2,3766,,5035,103043
Kenya,172,14,6,,7,159,2,3,0.1,4973,92
Venezuela,165,,7,,65,93,6,6,0.2,1779,63
Bangladesh,164,41,17,5,33,114,1,1.0,0.1,4289,26
Mayotte,164,,2,,15,147,3,601,7,479,1756
DRC,161,,18,,5,138,,2,0.2,,
Martinique,151,,4,,50,97,20,402,11,,
Isle of Man,150,11,1,,73,76,6,1764,12,1669,19628
Guadeloupe,139,,7,,31,101,14,347,17,,
Brunei,135,,1,,85,49,3,309,2,8845,20218
Guinea,128,,,,5,123,,10,,,
Paraguay,115,2,5,,15,95,1,16,0.7,2039,286
Cambodia,115,1,,,58,57,1,7,,5768,345
Gibraltar,113,4,,,60,53,,3354,,1440,42741
Trinidad and Tobago,106,1,8,,1,97,,76,6,870,622
Rwanda,105,,,,4,101,,8,,,
Djibouti,90,,,,9,81,,91,,2229,2256
Madagascar,82,,,,2,80,6,3,,,
Monaco,79,2,1,,4,74,4,2013,25,,
El Salvador,78,9,4,,5,69,4,12,0.6,,
Guatemala,77,7,3,,17,57,3,4,0.2,1134,63
Liechtenstein,77,,1,,55,21,,2020,26,900,23605
Aruba,74,3,,,14,60,,693,,954,8935
French Guiana,72,,,,34,38,1,241,,,
Togo,65,7,3,,23,39,,8,0.4,1617,195
Barbados,63,3,3,1,6,54,4,219,10,557,1938
Jamaica,59,,3,,8,48,,20,1,540,182
Mali,56,9,5,,12,39,,3,0.2,,
Ethiopia,52,8,2,,4,46,1,0.5,0.02,2271,20
Uganda,52,,,,,52,,1,,3160,69
Congo,45,,5,,2,38,,8,0.9,,
Macao,44,,,,10,34,1,68,,,
French Polynesia,42,,,,,42,,150,,618,2200
Bermuda,39,,2,,17,20,,626,32,306,4913
Cayman Islands,39,,1,,1,37,,593,15,365,5554
Zambia,39,,1,,7,31,,2,0.05,619,34
Sint Maarten,37,,6,,1,30,,863,140,105,2449
Bahamas,33,,5,,5,23,1,84,13,,
Guinea-Bissau,33,15,,,,33,,17,,,
Saint Martin,32,,2,,7,23,6,828,52,,
Guyana,31,,5,1,8,18,8,39,6,115,146
Eritrea,31,,,,,31,,9,,,
Gabon,30,6,1,,1,28,,13,0.4,,
Benin,26,,1,,5,20,,2,0.08,,
Haiti,25,1,1,,,24,,2,0.09,257,23
Tanzania,24,,1,,5,18,,0.4,0.02,,
Myanmar,22,,1,,,21,,0.4,0.02,1246,23
Syria,19,,2,,3,14,,1,0.1,,
Libya,19,,1,,1,17,,3,0.1,326,47
Maldives,19,,,,13,6,,35,,,
New Caledonia,18,,,,1,17,,63,,2135,7478
Angola,16,,2,,2,12,,0.5,0.06,,
Equatorial Guinea,16,,,,3,13,,11,,854,609
Namibia,16,,,,3,13,,6,,362,142
Antigua and Barbuda,15,,,,,15,1,153,,40,408
Dominica,15,,,,1,14,,208,,293,4070
Fiji,15,1,,,,15,,17,,,
Mongolia,15,,,,4,11,,5,,,
Liberia,14,,3,,3,8,,3,0.6,,
Sudan,14,2,2,,2,10,,0.3,0.05,,
Laos,14,2,,,,14,,2,,765,105
Saint Lucia,14,,,,1,13,,76,,,
Curaao,13,,1,,7,5,,79,6,,
Grenada,12,,,,,12,2,107,,45,400
Greenland,11,,,,10,1,,194,,752,13246
Saint Kitts and Nevis,11,1,,,,11,,207,,183,3440
Seychelles,11,,,,,11,,112,,,
Suriname,10,,1,,,9,,17,2,,
Zimbabwe,10,,1,,,9,,0.7,0.07,316,21
Chad,10,1,,,2,8,,0.6,,,
Mozambique,10,,,,1,9,,0.3,,363,12
Eswatini,10,,,,4,6,,9,,,
MS Zaandam,9,,2,,,7,,,,,
Nepal,9,,,,1,8,,0.3,,1656,57
Malawi,8,3,1,1,,7,1,0.4,0.05,,
Turks and Caicos,8,,1,,,7,,207,26,61,1576
CAR,8,,,,,8,,2,,,
Somalia,8,1,,,1,7,,0.5,,,
Belize,7,,1,,,6,1,18,3,268,674
Cabo Verde,7,,1,,1,5,,13,2,,
Vatican City,7,,,,,7,,8739,,,
St. Vincent Grenadines,7,,,,1,6,,63,,56,505
Botswana,6,,1,,,5,,3,0.4,1154,491
Mauritania,6,,1,,2,3,,1,0.2,67,14
Nicaragua,6,,1,,,5,,0.9,0.2,,
Montserrat,6,,,,,6,,1202,,,
St. Barth,6,,,,1,5,,607,,,
Sierra Leone,6,,,,,6,,0.8,,,
Bhutan,5,,,,2,3,,6,,1166,1511
Gambia,4,,1,,2,1,,2,0.4,,
Sao Tome and Principe,4,,,,,4,,18,,19,87
Western Sahara,4,,,,,4,,7,,,
Anguilla,3,,,,,3,,200,,,
British Virgin Islands,3,,,,,3,,99,,,
Burundi,3,,,,,3,,0.3,,,
Caribbean Netherlands,2,,,,,2,,76,,10,381
Falkland Islands,2,,,,,2,,575,,,
Papua New Guinea,2,,,,,2,,0.2,,72,8
Saint Pierre Miquelon,1,,,,,1,,173,,,
South Sudan,1,,,,,1,,0.09,,,
Timor-Leste,1,,,,,1,,0.8,,,
China,81740,32,3331,,77167,1242,211,57,2,,
