Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
UAE,2659,300,12,,239,2408,1,269,1,539195,54517
Finland,2487,179,40,6,300,2147,82,449,7,36500,6588
Thailand,2369,111,30,3,888,1451,61,34,0.4,71860,1030
Panama,2249,149,59,4,16,2174,91,521,14,10297,2386
Qatar,2210,153,6,,178,2026,37,767,2,41818,14515
Dominican Republic,1956,,98,,36,1822,147,180,9,4542,419
Greece,1832,,81,,269,1482,90,176,8,28584,2742
Colombia,1780,,50,,100,1630,76,35,1.0,30445,598
South Africa,1749,,13,,95,1641,7,29,0.2,58098,980
Argentina,1715,,62,2,338,1315,96,38,1,11778,261
Ukraine,1668,206,52,7,35,1581,33,38,1,7205,165
Singapore,1623,142,6,,406,1211,29,277,1,65000,11110
Iceland,1616,30,6,,633,977,13,4736,18,30947,90689
Algeria,1468,,193,,113,1162,46,33,4,3359,77
Egypt,1450,,94,,276,1080,,14,0.9,25000,244
Croatia,1343,61,19,1,179,1145,36,327,5,13125,3197
Morocco,1242,58,91,1,97,1054,1,34,2,5600,152
New Zealand,1210,50,1,,282,927,4,251,0.2,46875,9721
Estonia,1185,36,24,3,72,1089,11,893,18,24813,18705
Iraq,1122,,65,,373,684,,28,2,26331,655
Slovenia,1091,32,40,4,120,931,35,525,19,30669,14752
Belarus,1066,205,13,,77,976,33,113,1,46000,4868
Moldova,1056,,24,2,40,992,80,262,6,5108,1266
Hong Kong,961,25,4,,264,693,14,128,0.5,96709,12900
Lithuania,912,32,15,,8,889,21,335,6,30108,11060
Hungary,895,78,58,11,94,743,17,93,6,25748,2665
Armenia,881,28,9,1,114,758,30,297,3,5452,1840
Kuwait,855,112,1,,111,743,21,200,0.2,,
Bahrain,821,10,5,,467,349,3,482,3,52351,30766
Bosnia and Herzegovina,794,30,33,,77,684,4,242,10,6911,2106
Azerbaijan,717,,8,,44,665,23,71,0.8,53300,5257
Diamond Princess,712,,11,,619,82,10,,,,
Kazakhstan,709,12,7,1,54,648,21,38,0.4,56775,3024
Cameroon,685,,9,,60,616,,26,0.3,,
Tunisia,623,,23,,25,575,67,53,2,8274,700
North Macedonia,617,18,29,3,35,553,15,296,14,6230,2990
Bulgaria,581,4,23,,42,516,21,84,3,15899,2288
Slovakia,581,,2,,13,566,3,106,0.4,17639,3231
Latvia,577,29,2,,16,559,5,306,1,24036,12743
Lebanon,575,27,19,,62,494,29,84,3,10808,1583
Andorra,545,,22,,39,484,17,7054,285,1673,21653
Uzbekistan,545,25,3,1,30,512,8,16,0.09,,
Cyprus,494,,9,,47,438,13,409,7,13017,10781
Costa Rica,483,,2,,24,457,14,95,0.4,5525,1085
Uruguay,424,,7,,150,267,14,122,2,5727,1649
Afghanistan,423,,14,,18,391,,11,0.4,,
Oman,419,48,2,,72,345,3,82,0.4,,
Albania,400,17,22,,154,224,7,139,8,2989,1039
Cuba,396,,11,,27,358,15,35,1.0,7054,623
Burkina Faso,384,,19,,127,238,,18,0.9,,
Taiwan,379,3,5,,67,307,,16,0.2,40702,1709
Runion,358,,,,40,318,4,400,,,
Jordan,353,,6,,138,209,5,35,0.6,17000,1666
Ivory Coast,349,,3,,41,305,,13,0.1,,
Channel Islands,335,,7,,34,294,,1927,40,1157,6655
Honduras,312,7,22,,6,284,10,32,2,,
Malta,299,6,,,5,294,4,677,,12731,28833
Ghana,287,,5,,31,251,2,9,0.2,,
San Marino,279,,34,,40,205,14,8223,1002,586,17270
Niger,278,,11,,26,241,,11,0.5,4199,173
Kyrgyzstan,270,42,4,,33,233,5,41,0.6,9618,1474
Mauritius,268,,7,,8,253,3,211,6,4913,3863
Palestine,263,2,1,,44,218,,52,0.2,15450,3029
Nigeria,254,,6,,44,204,2,1,0.03,5000,24
Vietnam,251,,,,126,125,8,3,,110124,1131
Montenegro,248,7,2,,4,242,7,395,3,2014,3207
Senegal,244,7,2,,113,129,1,15,0.1,,
Bangladesh,218,54,20,3,33,165,1,1,0.1,4289,26
Bolivia,210,16,15,1,2,193,3,18,1,591,51
Georgia,208,12,3,,48,157,6,52,0.8,2762,692
Sri Lanka,189,4,7,1,44,138,5,9,0.3,3248,152
Faeroe Islands,184,,,,131,53,1,3766,,5153,105458
DRC,180,,18,,9,153,,2,0.2,,
Kenya,179,7,6,,9,164,2,3,0.1,4973,92
Mayotte,171,,2,,22,147,3,627,7,1100,4032
Venezuela,166,,7,,65,94,6,6,0.2,1779,63
Isle of Man,158,8,1,,80,77,7,1858,12,1759,20686
Martinique,152,,4,,50,98,20,405,11,,
Guinea,144,,,,5,139,,11,,,
Guadeloupe,139,,7,,31,101,14,347,17,,
Brunei,135,,1,,91,43,3,309,2,8845,20218
Djibouti,135,45,,,25,110,,137,,3106,3144
Paraguay,119,4,5,,15,99,1,17,0.7,2039,286
Cambodia,117,2,,,63,54,1,7,,5768,345
Gibraltar,113,,,,60,53,,3354,,1440,42741
Trinidad and Tobago,107,,8,,1,98,,76,6,878,627
Rwanda,105,,,,7,98,,8,,806,62
El Salvador,93,15,5,1,9,79,2,14,0.8,,
Madagascar,93,5,,,11,82,1,3,,,
Guatemala,80,3,3,,17,60,3,4,0.2,1134,63
Monaco,79,,1,,4,74,4,2013,25,,
Liechtenstein,78,,1,,55,22,,2046,26,900,23605
French Guiana,77,,,,34,43,1,258,,,
Aruba,74,,,,14,60,,693,,954,8935
Togo,70,5,3,,23,44,,8,0.4,1747,211
Barbados,63,,3,,6,54,4,219,10,557,1938
Jamaica,63,,3,,10,50,,21,1,540,182
Mali,56,,5,,12,39,,3,0.2,,
Ethiopia,55,3,2,,4,49,1,0.5,0.02,2496,22
Uganda,52,,,,,52,,1,,3310,72
French Polynesia,47,,,,,47,,167,,694,2471
Congo,45,,5,,2,38,,8,0.9,,
Cayman Islands,45,,1,,6,38,,685,15,479,7288
Macao,45,1,,,10,35,1,69,,,
Sint Maarten,40,,6,,1,33,2,933,140,112,2612
Bermuda,39,,2,,17,20,,626,32,306,4913
Zambia,39,,1,,7,31,,2,0.05,619,34
Bahamas,36,3,6,,5,25,1,92,15,,
Guyana,33,,5,,8,20,4,42,6,132,168
Guinea-Bissau,33,,,,,33,,17,,,
Saint Martin,32,,2,,7,23,6,828,52,,
Eritrea,31,,,,,31,,9,,,
Gabon,30,,1,,1,28,,13,0.4,,
Benin,26,,1,,5,20,,2,0.08,,
Haiti,25,,1,,,24,,2,0.09,257,23
Tanzania,24,,1,,5,18,,0.4,0.02,,
Myanmar,22,,3,2,,19,,0.4,0.06,1246,23
Libya,21,1,1,,2,18,,3,0.1,355,52
Antigua and Barbuda,19,,2,1,,17,1,194,20,40,408
Syria,19,,2,,3,14,,1,0.1,,
Maldives,19,,,,13,6,,35,,,
New Caledonia,18,,,,1,17,,63,,2320,8126
Angola,17,,2,,2,13,,0.5,0.06,,
Equatorial Guinea,16,,,,3,13,,11,,854,609
Mongolia,16,1,,,4,12,,5,,,
Namibia,16,,,,3,13,,6,,362,142
Dominica,15,,,,1,14,,208,,293,4070
Fiji,15,,,,,15,,17,,,
Laos,15,1,,,,15,,2,,781,107
Liberia,14,,3,,3,8,,3,0.6,,
Sudan,14,,2,,2,10,,0.3,0.05,,
Saint Lucia,14,,,,1,13,,76,,,
Curaao,13,,1,,7,5,,79,6,,
Grenada,12,,,,,12,2,107,,45,400
Zimbabwe,11,,2,,,9,,0.7,0.1,371,25
Greenland,11,,,,10,1,,194,,752,13246
Saint Kitts and Nevis,11,,,,,11,,207,,183,3440
Seychelles,11,,,,,11,,112,,,
Suriname,10,,1,,3,6,,17,2,,
Chad,10,,,,2,8,,0.6,,,
Mozambique,10,,,,1,9,,0.3,,424,14
Eswatini,10,,,,4,6,,9,,,
MS Zaandam,9,,2,,,7,,,,,
Nepal,9,,,,1,8,,0.3,,2122,73
Montserrat,9,,,,,9,1,1803,,36,7212
Malawi,8,,1,,,7,1,0.4,0.05,,
Turks and Caicos,8,,1,,,7,,207,26,61,1576
CAR,8,,,,,8,,2,,,
St. Vincent Grenadines,8,,,,1,7,,72,,56,505
Somalia,8,,,,1,7,,0.5,,,
Belize,7,,1,,,6,1,18,3,268,674
Cabo Verde,7,,1,,1,5,,13,2,,
Vatican City,7,,,,,7,,8739,,,
Sierra Leone,7,1,,,,7,,0.9,,,
Botswana,6,,1,,,5,,3,0.4,1154,491
Mauritania,6,,1,,2,3,,1,0.2,67,14
Nicaragua,6,,1,,,5,,0.9,0.2,,
St. Barth,6,,,,1,5,,607,,,
Bhutan,5,,,,2,3,,6,,1166,1511
Gambia,4,,1,,2,1,,2,0.4,,
Sao Tome and Principe,4,,,,,4,,18,,19,87
Western Sahara,4,,,,,4,,7,,,
Anguilla,3,,,,,3,,200,,,
British Virgin Islands,3,,,,,3,,99,,,
Burundi,3,,,,,3,,0.3,,,
Caribbean Netherlands,2,,,,,2,,76,,10,381
Falkland Islands,2,,,,,2,,575,,,
Papua New Guinea,2,,,,,2,,0.2,,72,8
South Sudan,2,,,,,2,,0.2,,,
Saint Pierre Miquelon,1,,,,,1,,173,,,
Timor-Leste,1,,,,,1,,0.8,,,
China,81802,62,3333,2,77279,1190,189,57,2,,
