Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,Reported1st case
Greece,1314,102,49,3,52,1213,72,126,5,Feb 25
Panama,1181,106,30,3,9,1142,50,274,7,Mar 09
Iceland,1135,49,2,,198,935,11,3326,6,Feb 27
Dominican Republic,1109,208,51,9,5,1053,,102,5,Feb 29
Mexico,1094,101,28,8,35,1031,1,8,0.2,Feb 27
Peru,1065,115,30,6,394,641,49,32,0.9,Mar 05
Argentina,1054,234,27,4,240,787,,23,0.6,Mar 02
Singapore,926,47,3,,240,683,22,158,0.5,Jan 22
Colombia,906,108,16,2,31,859,35,18,0.3,Mar 05
Serbia,900,115,23,7,42,835,62,103,3,Mar 05
Croatia,867,77,6,,67,794,32,211,1,Feb 24
Slovenia,802,46,15,4,10,777,24,386,7,Mar 03
Qatar,781,88,2,1,62,717,6,271,0.7,Feb 28
Estonia,745,30,4,1,26,715,13,562,3,Feb 26
Algeria,716,132,44,9,46,626,,16,1,Feb 24
Hong Kong,715,32,4,,128,583,5,95,0.5,Jan 22
Diamond Princess,712,,10,,603,99,15,,,Feb 04
Egypt,710,54,46,5,157,507,,7,0.4,Feb 13
Iraq,694,64,50,4,170,474,,17,1,Feb 21
UAE,664,53,6,1,61,597,2,67,0.6,Jan 28
New Zealand,647,58,1,,74,572,2,134,0.2,Feb 27
Ukraine,645,97,17,4,10,618,,15,0.4,Mar 02
Morocco,617,61,36,3,24,557,1,17,1.0,Mar 01
Bahrain,567,52,4,,295,268,2,333,2,Feb 23
Lithuania,537,46,8,1,7,522,27,197,3,Feb 27
Armenia,532,50,3,,30,499,30,180,1,Feb 29
Hungary,492,45,16,1,37,439,6,51,2,Mar 03
Lebanon,470,24,12,1,37,421,7,69,2,Feb 20
Bosnia and Herzegovina,420,52,13,3,17,390,1,128,4,Mar 04
Bulgaria,399,40,8,,17,374,14,57,1,Mar 06
Latvia,398,22,,,1,397,3,211,,Mar 01
Tunisia,394,32,10,1,3,381,10,33,0.8,Mar 01
Andorra,376,6,12,4,10,354,12,4866,155,Mar 01
Slovakia,363,27,,,3,360,1,66,,Mar 05
Moldova,353,55,4,2,18,331,44,88,1.0,Mar 06
Costa Rica,347,17,2,,4,341,8,68,0.4,Mar 04
Kazakhstan,343,41,2,1,24,317,6,18,0.1,Mar 12
Uruguay,338,18,1,,41,296,12,97,0.3,Mar 12
North Macedonia,329,44,9,2,12,308,4,158,4,Feb 25
Taiwan,322,16,5,,39,278,,14,0.2,Jan 20
Azerbaijan,298,25,5,1,26,267,11,29,0.5,Feb 27
Kuwait,289,23,,,73,216,13,68,,Feb 23
Jordan,274,6,5,,30,239,5,27,0.5,Mar 01
Cyprus,262,32,8,1,23,231,3,217,7,Mar 08
Burkina Faso,261,15,14,2,32,215,,12,0.7,Mar 08
Runion,247,23,,,1,246,4,276,,Mar 10
Albania,243,20,15,4,52,176,8,84,5,Mar 07
San Marino,236,6,26,1,13,197,16,6955,766,Feb 26
Vietnam,212,8,,,58,154,3,2,,Jan 22
Cameroon,193,54,6,,5,182,,7,0.2,Mar 05
Oman,192,13,1,1,34,157,3,38,0.2,Feb 23
Cuba,186,16,6,2,8,172,3,16,0.5,Mar 10
Ivory Coast,179,11,1,,7,171,,7,0.04,Mar 10
Senegal,175,13,,,40,135,,10,,Mar 01
Afghanistan,174,4,4,,5,165,,4,0.1,Feb 23
Uzbekistan,172,23,2,,7,163,8,5,0.06,Mar 14
Faeroe Islands,169,1,,,74,95,3,3459,,Mar 03
Malta,169,13,,,2,167,2,383,,Mar 06
Ghana,161,9,5,,31,125,1,5,0.2,Mar 11
Belarus,152,,1,1,47,104,2,16,0.1,Feb 27
Mauritius,143,15,5,2,,138,1,112,4,Mar 17
Sri Lanka,143,21,2,,17,124,5,7,0.09,Jan 26
Honduras,141,2,7,,3,131,4,14,0.7,Mar 10
Channel Islands,141,,3,1,,138,,811,17,Mar 08
Venezuela,135,,3,,39,93,6,5,0.1,Mar 12
Nigeria,135,4,2,,8,125,,0.7,0.01,Feb 27
Brunei,129,2,1,,45,83,3,295,2,Mar 08
Martinique,128,35,3,2,27,98,15,341,8,Mar 04
Palestine,119,2,1,,18,100,,23,0.2,Mar 04
Guadeloupe,114,8,4,,22,88,14,285,10,Mar 12
Georgia,110,7,,,21,89,6,28,,Feb 25
Montenegro,109,18,2,1,,107,1,174,3,Mar 16
Cambodia,109,2,,,23,86,1,7,,Jan 26
Bolivia,107,10,6,2,,101,3,9,0.5,Mar 09
Kyrgyzstan,107,13,,,3,104,,16,,Mar 17
DRC,98,17,8,,2,88,,1,0.09,Mar 09
Mayotte,94,12,1,1,10,83,3,345,4,Mar 13
Trinidad and Tobago,87,4,3,,1,83,,62,2,Mar 11
Rwanda,75,5,,,,75,,6,,Mar 13
Gibraltar,69,,,,34,35,,2048,,Mar 02
Liechtenstein,68,6,,,,68,,1783,,Mar 02
Paraguay,65,1,3,,1,61,3,9,0.4,Mar 06
Isle of Man,60,11,,,,60,,706,,Mar 18
Kenya,59,9,1,,1,57,2,1,0.02,Mar 12
Madagascar,57,14,,,,57,6,2,,Mar 19
Aruba,55,5,,,1,54,,515,,Mar 12
Monaco,52,3,1,,2,49,,1325,25,Feb 27
Bangladesh,51,2,5,,25,21,1,0.3,0.03,Mar 07
French Guiana,51,8,,,15,36,,171,,Mar 06
Uganda,44,11,,,,44,,1.0,,Mar 20
Macao,41,3,,,10,31,,63,,Jan 21
Jamaica,38,2,2,1,2,34,,13,0.7,Mar 09
Guatemala,38,2,1,,12,25,1,2,0.06,Mar 12
French Polynesia,37,1,,,,37,1,132,,Mar 10
Zambia,36,1,,,,36,,2,,Mar 17
Niger,34,7,3,,,31,,1,0.1,Mar 18
Togo,34,4,1,,10,23,,4,0.1,Mar 05
Barbados,34,1,,,,34,,118,,Mar 16
El Salvador,32,2,1,1,,31,5,5,0.2,Mar 18
Bermuda,32,5,,,10,22,,514,,Mar 17
Djibouti,30,12,,,,30,,30,,Mar 17
Mali,28,3,2,,,26,,1,0.10,Mar 24
Ethiopia,26,3,,,2,24,2,0.2,,Mar 12
Guinea,22,,,,,22,,2,,Mar 12
Tanzania,19,,1,1,1,17,,0.3,0.02,Mar 15
Congo,19,,,,,19,,3,,Mar 14
Maldives,18,1,,,13,5,,33,,Mar 06
Gabon,16,9,1,,,15,,7,0.4,Mar 12
New Caledonia,16,1,,,,16,,56,,Mar 17
Myanmar,15,1,1,1,,14,,0.3,0.02,Mar 22
Saint Martin,15,,1,,2,12,,388,26,Feb 29
Equatorial Guinea,15,3,,,1,14,,11,,Mar 13
Eritrea,15,,,,,15,,4,,Mar 20
Haiti,15,,,,1,14,,1,,Mar 19
Cayman Islands,14,2,1,,,13,,213,15,Mar 12
Bahamas,14,,,,1,13,,36,,Mar 14
Saint Lucia,13,4,,,1,12,,71,,Mar 12
Guyana,12,4,2,1,,10,,15,3,Mar 11
Dominica,12,,,,,12,,167,,Mar 21
Mongolia,12,,,,2,10,,4,,Mar 09
Curaao,11,,1,,2,8,,67,6,Mar 12
Namibia,11,,,,2,9,,4,,Mar 13
Syria,10,,2,,,8,,0.6,0.1,Mar 21
Greenland,10,,,,2,8,,176,,Mar 15
Libya,10,2,,,1,9,,1,,Mar 23
Seychelles,10,2,,,,10,,102,,Mar 13
Benin,9,3,,,1,8,,0.7,,Mar 15
Grenada,9,,,,,9,,80,,Mar 21
Laos,9,1,,,,9,,1,,Mar 23
Suriname,9,1,,,,9,,15,,Mar 12
Eswatini,9,,,,,9,,8,,Mar 13
Zimbabwe,8,1,1,,,7,,0.5,0.07,Mar 19
Guinea-Bissau,8,,,,,8,,4,,Mar 24
Mozambique,8,,,,,8,,0.3,,Mar 21
Saint Kitts and Nevis,8,1,,,,8,,150,,Mar 24
Angola,7,,2,,1,4,,0.2,0.06,Mar 19
Sudan,7,1,2,,1,4,,0.2,0.05,Mar 12
Antigua and Barbuda,7,,,,,7,,71,,Mar 12
Chad,7,2,,,,7,,0.4,,Mar 18
Cabo Verde,6,,1,,,5,,11,2,Mar 19
Mauritania,6,,1,,2,3,,1,0.2,Mar 12
Vatican City,6,,,,,6,,7491,,Mar 05
St. Barth,6,,,,1,5,,607,,Feb 29
Sint Maarten,6,,,,,6,,140,,Mar 17
Nicaragua,5,1,1,,,4,,0.8,0.2,Mar 18
Nepal,5,,,,1,4,,0.2,,Jan 23
Fiji,5,,,,,5,,6,,Mar 18
Montserrat,5,,,,,5,,1002,,Mar 17
Somalia,5,2,,,1,4,,0.3,,Mar 15
Turks and Caicos,5,,,,,5,,129,,Mar 22
Botswana,4,1,1,1,,3,,2,0.4,Mar 29
Gambia,4,,1,,,3,,2,0.4,Mar 16
Bhutan,4,,,,,4,,5,,Mar 05
Belize,3,,,,,3,,8,,Mar 22
British Virgin Islands,3,1,,,,3,,99,,Mar 24
CAR,3,,,,,3,,0.6,,Mar 14
Liberia,3,,,,,3,,0.6,,Mar 15
MS Zaandam,2,,,,,2,,,,Mar 26
Anguilla,2,,,,,2,,133,,Mar 25
Burundi,2,2,,,,2,,0.2,,Mar 30
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
St. Vincent Grenadines,1,,,,1,0,,9,,Mar 10
Sierra Leone,1,1,,,,1,,0.1,,Mar 30
Timor-Leste,1,,,,,1,,0.8,,Mar 20
China,81518,,3305,,76052,2161,528,57,2,Jan 10
