Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,Reported1st case
Panama,1317,,32,,9,1276,50,305,7,Mar 09
Dominican Republic,1284,,57,,9,1218,,118,5,Feb 29
Iceland,1220,,2,,236,982,12,3575,6,Feb 27
Mexico,1215,,29,,35,1151,1,9,0.2,Feb 27
Argentina,1133,,33,1,248,852,,25,0.7,Mar 02
Colombia,1065,,17,,39,1009,47,21,0.3,Mar 05
Serbia,1060,,28,,42,990,62,121,3,Mar 05
Singapore,1000,,4,1,245,751,24,171,0.7,Jan 22
Croatia,963,,6,,73,884,34,235,1,Feb 24
Algeria,847,,58,,61,728,,19,1,Feb 24
Slovenia,841,,15,,10,816,31,405,7,Mar 03
Qatar,835,,2,,71,762,37,290,0.7,Feb 28
UAE,814,,8,,61,745,2,82,0.8,Jan 28
New Zealand,797,89,1,,92,704,2,165,0.2,Feb 27
Ukraine,794,,20,,13,761,,18,0.5,Mar 02
Egypt,779,,52,,179,548,,8,0.5,Feb 13
Estonia,779,,5,,33,741,15,587,4,Feb 26
Hong Kong,766,,4,,147,615,5,102,0.5,Jan 22
Iraq,728,,52,,182,494,,18,1,Feb 21
Diamond Princess,712,,11,,603,98,15,,,Feb 04
Morocco,654,,39,,29,586,1,18,1,Mar 01
Lithuania,581,,8,,7,566,11,213,3,Feb 27
Armenia,571,,4,,31,536,30,193,1,Feb 29
Bahrain,569,,4,,337,228,3,334,2,Feb 23
Hungary,525,,20,,40,465,17,54,2,Mar 03
Lebanon,479,,14,,43,422,5,70,2,Feb 20
Bosnia and Herzegovina,459,,13,,19,427,1,140,4,Mar 04
Latvia,446,,,,1,445,3,236,,Mar 01
Tunisia,423,,12,,5,406,10,36,1,Mar 01
Moldova,423,,5,,23,395,44,105,1,Mar 06
Bulgaria,422,,10,,20,392,18,61,1,Mar 06
Slovakia,400,,1,,3,396,1,73,0.2,Mar 05
Andorra,390,,14,,10,366,12,5048,181,Mar 01
Kazakhstan,380,,3,,26,351,6,20,0.2,Mar 12
Costa Rica,375,,2,,4,369,9,74,0.4,Mar 04
Azerbaijan,359,,5,,26,328,7,35,0.5,Feb 27
North Macedonia,354,,11,,17,326,4,170,5,Feb 25
Uruguay,350,,2,,62,286,15,101,0.6,Mar 12
Taiwan,329,,5,,45,279,,14,0.2,Jan 20
Cyprus,320,,9,,28,283,11,265,7,Mar 08
Kuwait,317,,,,80,237,14,74,,Feb 23
Burkina Faso,282,,16,,46,220,,13,0.8,Mar 08
Runion,281,,,,40,241,3,314,,Mar 10
Jordan,278,,5,,36,237,5,27,0.5,Mar 01
Albania,259,,15,,67,177,7,90,5,Mar 07
Afghanistan,237,,4,,5,228,,6,0.1,Feb 23
San Marino,236,,28,,13,195,16,6955,825,Feb 26
Cameroon,233,,6,,10,217,,9,0.2,Mar 05
Vietnam,222,4,,,63,159,3,2,,Jan 22
Cuba,212,,6,,12,194,3,19,0.5,Mar 10
Oman,210,,1,,34,175,3,41,0.2,Feb 23
Ghana,195,,5,,31,159,1,6,0.2,Mar 11
Ivory Coast,190,,1,,9,180,,7,0.04,Mar 10
Senegal,190,,1,,45,144,,11,0.06,Mar 01
Malta,188,,,,2,186,2,426,,Mar 06
Uzbekistan,181,,2,,12,167,8,5,0.06,Mar 14
Nigeria,174,,2,,9,163,,0.8,0.01,Feb 27
Faeroe Islands,173,,,,75,98,1,3541,,Mar 03
Honduras,172,,10,,3,159,4,17,1,Mar 10
Channel Islands,172,,3,,,169,,989,17,Mar 08
Belarus,163,,2,,53,108,2,17,0.2,Feb 27
Mauritius,161,,6,,,155,1,127,5,Mar 17
Sri Lanka,146,,3,,21,122,5,7,0.1,Jan 26
Venezuela,144,,3,,43,98,6,5,0.1,Mar 12
Martinique,135,,3,,27,105,16,360,8,Mar 04
Palestine,134,,1,,18,115,,26,0.2,Mar 04
Brunei,131,,1,,52,78,3,299,2,Mar 08
Guadeloupe,125,,6,,24,95,14,312,15,Mar 12
Montenegro,123,,2,,,121,4,196,3,Mar 16
Georgia,117,,,,23,94,6,29,,Feb 25
Bolivia,115,,7,,1,107,3,10,0.6,Mar 09
Kyrgyzstan,111,,,,3,108,3,17,,Mar 17
DRC,109,,9,,3,97,,1,0.1,Mar 09
Cambodia,109,,,,25,84,1,7,,Jan 26
Mayotte,101,,1,,10,90,3,370,4,Mar 13
Trinidad and Tobago,90,,5,,1,84,,64,4,Mar 11
Rwanda,82,,,,,82,,6,,Mar 13
Kenya,81,,1,,3,77,2,2,0.02,Mar 12
Gibraltar,81,,,,34,47,,2404,,Mar 02
Paraguay,77,8,3,,2,72,4,11,0.4,Mar 06
Niger,74,,5,,,69,,3,0.2,Mar 18
Liechtenstein,72,,,,,72,,1888,,Mar 02
Isle of Man,68,,1,,,67,,800,12,Mar 18
Madagascar,57,,,,,57,6,2,,Mar 19
Monaco,55,,1,,2,52,2,1402,25,Feb 27
Aruba,55,,,,1,54,,515,,Mar 12
Bangladesh,54,,6,,25,23,1,0.3,0.04,Mar 07
French Guiana,51,,,,15,36,,171,,Mar 06
Guatemala,46,7,1,,12,33,1,3,0.06,Mar 12
Barbados,45,,,,,45,,157,,Mar 16
Jamaica,44,,3,,2,39,,15,1,Mar 09
Uganda,44,,,,,44,,1.0,,Mar 20
Macao,41,,,,10,31,,63,,Jan 21
French Polynesia,37,,,,,37,1,132,,Mar 10
Togo,36,,2,,10,24,,4,0.2,Mar 05
Zambia,36,,,,,36,,2,,Mar 17
El Salvador,33,,2,,,31,4,5,0.3,Mar 18
Djibouti,33,,,,,33,,33,,Mar 17
Bermuda,32,,,,10,22,,514,,Mar 17
Mali,31,,3,,,28,,2,0.1,Mar 24
Guinea,30,,,,,30,,2,,Mar 12
Ethiopia,29,,,,2,27,2,0.3,,Mar 12
Congo,22,,2,,,20,,4,0.4,Mar 14
Cayman Islands,22,,1,,,21,,335,15,Mar 12
Saint Martin,22,,1,,2,19,,569,26,Feb 29
Bahamas,21,,1,,1,19,,53,3,Mar 14
Tanzania,20,,1,,1,18,,0.3,0.02,Mar 15
Guyana,19,,4,1,,15,,24,5,Mar 11
Maldives,19,,,,13,6,,35,,Mar 06
Gabon,18,,1,,,17,,8,0.4,Mar 12
Myanmar,16,,1,,,15,,0.3,0.02,Mar 22
Sint Maarten,16,,1,,6,9,,373,23,Mar 17
Haiti,16,,,,1,15,,1,,Mar 19
New Caledonia,16,,,,1,15,,56,,Mar 17
Equatorial Guinea,15,,,,1,14,,11,,Mar 13
Eritrea,15,,,,,15,,4,,Mar 20
Mongolia,14,,,,2,12,,4,,Mar 09
Namibia,14,,,,2,12,,6,,Mar 13
Benin,13,,,,1,12,,1,,Mar 15
Saint Lucia,13,,,,1,12,,71,,Mar 12
Dominica,12,,,,,12,,167,,Mar 21
Curaao,11,,1,,3,7,,67,6,Mar 12
Syria,10,,2,,,8,,0.6,0.1,Mar 21
Greenland,10,,,,2,8,,176,,Mar 15
Grenada,10,1,,,,10,,89,,Mar 21
Laos,10,,,,,10,,1,,Mar 23
Libya,10,,,,,10,,1,,Mar 23
Mozambique,10,,,,,10,,0.3,,Mar 21
Seychelles,10,,,,,10,,102,,Mar 13
Suriname,10,,,,,10,,17,,Mar 12
MS Zaandam,9,,2,,,7,,,,Mar 26
Guinea-Bissau,9,,,,,9,,5,,Mar 24
Eswatini,9,,,,,9,,8,,Mar 13
Angola,8,,2,,1,5,,0.2,0.06,Mar 19
Zimbabwe,8,,1,,,7,,0.5,0.07,Mar 19
Saint Kitts and Nevis,8,,,,,8,,150,,Mar 24
Sudan,7,,2,,2,3,,0.2,0.05,Mar 12
Antigua and Barbuda,7,,,,,7,,71,,Mar 12
Chad,7,,,,,7,,0.4,,Mar 18
Cabo Verde,6,,1,,,5,,11,2,Mar 19
Mauritania,6,,1,,2,3,,1,0.2,Mar 12
Vatican City,6,,,,,6,,7491,,Mar 05
Liberia,6,,,,,6,,1,,Mar 15
St. Barth,6,,,,1,5,,607,,Feb 29
Turks and Caicos,6,,,,,6,,155,,Mar 22
Nicaragua,5,,1,,,4,,0.8,0.2,Mar 18
Nepal,5,,,,1,4,,0.2,,Jan 23
Fiji,5,,,,,5,,6,,Mar 18
Montserrat,5,,,,,5,,1002,,Mar 17
Somalia,5,,,,1,4,,0.3,,Mar 15
Botswana,4,,1,,,3,,2,0.4,Mar 29
Gambia,4,,1,,2,1,,2,0.4,Mar 16
Bhutan,4,,,,,4,,5,,Mar 05
Belize,3,,,,,3,,8,,Mar 22
British Virgin Islands,3,,,,,3,,99,,Mar 24
CAR,3,,,,,3,,0.6,,Mar 14
Anguilla,2,,,,,2,,133,,Mar 25
Burundi,2,,,,,2,,0.2,,Mar 30
Caribbean Netherlands,2,,,,,2,,76,,Mar 31
St. Vincent Grenadines,2,,,,1,1,,18,,Mar 10
Sierra Leone,2,,,,,2,,0.3,,Mar 30
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
Timor-Leste,1,,,,,1,,0.8,,Mar 20
China,81554,,3312,,76238,2004,466,57,2,Jan 10
