Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
Montenegro,29,2,1,,,28,,46
Bolivia,28,1,,,,28,,2
Ghana,27,,2,,,25,,0.9
Paraguay,27,5,2,1,,25,1,4
Macao,25,,,,10,15,,39
Ivory Coast,25,,,,2,23,,0.9
Monaco,23,,,,1,22,,586
French Guiana,23,3,,,6,17,,77
French Polynesia,23,5,,,,23,,82
Jamaica,21,2,1,,2,18,,7
Guatemala,20,,1,,,19,,1
Guyana,20,,1,,,19,,25
Isle of Man,20,7,,,,20,,235
Togo,18,,,,,18,,2
Barbados,17,,,,,17,,59
Madagascar,17,5,,,,17,,0.6
U.S. Virgin Islands,17,,,,,17,,163
Kenya,16,,,,,16,,0.3
Gibraltar,15,,,,5,10,,445
Maldives,13,,,,5,8,,24
Aruba,12,3,,,1,11,,112
Ethiopia,12,1,,,,12,,0.1
Tanzania,12,,,,,12,,0.2
Mongolia,10,,,,,10,,3
New Caledonia,10,2,,,,10,,35
Equatorial Guinea,9,,,,,9,,6
Uganda,9,,,,,9,,0.2
Saint Martin,8,,,,,8,,207
Seychelles,7,,,,,7,,71
Gabon,6,,1,,,5,,3
Benin,6,,,,,6,,0.5
Bermuda,6,,,,,6,,96
Haiti,6,,,,,6,,0.5
Suriname,6,1,,,,6,,10
Cayman Islands,5,,1,,,4,,76
El Salvador,5,2,,,,5,,0.8
Curaao,4,,1,,,3,,24
Bahamas,4,,,,,4,,10
Congo,4,,,,,4,,0.7
Fiji,4,1,,,,4,,4
Greenland,4,,,,,4,,70
Guinea,4,,,,,4,,0.3
Namibia,4,,,,,4,,2
Eswatini,4,,,,,4,,3
Zimbabwe,3,,1,,,2,,0.2
Angola,3,,,,,3,,0.09
Antigua and Barbuda,3,,,,,3,,31
Cabo Verde,3,,,,,3,,5
CAR,3,,,,,3,,0.6
Chad,3,1,,,,3,,0.2
Djibouti,3,,,,,3,,3
Liberia,3,,,,,3,,0.6
Niger,3,,,,,3,,0.1
St. Barth,3,,,,,3,,304
Saint Lucia,3,,,,,3,,16
Zambia,3,,,,,3,,0.2
Gambia,2,,1,,,1,,0.8
Sudan,2,,1,,,1,,0.05
Nepal,2,,,,1,1,,0.07
Bhutan,2,,,,,2,,3
Dominica,2,,,,,2,,28
Laos,2,2,,,,2,,0.3
Mauritania,2,,,,,2,,0.4
Myanmar,2,,,,,2,,0.04
Nicaragua,2,,,,,2,,0.3
Sint Maarten,2,,,,,2,,47
Belize,1,,,,,1,,3
Eritrea,1,,,,,1,,0.3
Grenada,1,,,,,1,,9
Vatican City,1,,,,,1,,1248
Montserrat,1,,,,,1,,200
Mozambique,1,,,,,1,,0.03
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9
Somalia,1,,,,,1,,0.06
Syria,1,,,,,1,,0.06
Timor-Leste,1,,,,,1,,0.8
Turks and Caicos,1,,,,,1,,26
