Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,Reported1st case
Philippines,1546,128,78,7,42,1426,1,14,0.7,Jan 29
Thailand,1524,136,9,2,229,1286,11,22,0.1,Jan 12
Saudi Arabia,1453,154,8,,115,1330,12,42,0.2,Mar 01
Indonesia,1414,129,122,8,75,1217,,5,0.4,Mar 01
Finland,1352,112,13,2,10,1329,49,244,2,Jan 28
South Africa,1280,,2,,31,1247,7,22,0.03,Mar 04
Greece,1212,56,43,4,52,1117,72,116,4,Feb 25
Iceland,1086,66,2,,157,927,25,3182,6,Feb 27
India,1071,47,29,2,100,942,,0.8,0.02,Jan 29
Mexico,993,145,20,4,35,938,1,8,0.2,Feb 27
Panama,989,,24,,4,961,36,229,6,Mar 09
Dominican Republic,901,42,42,3,4,855,,83,4,Feb 29
Singapore,879,35,3,,228,648,19,150,0.5,Jan 22
Peru,852,,18,,16,818,40,26,0.5,Mar 05
Argentina,820,,22,2,228,570,,18,0.5,Mar 02
Croatia,790,77,6,,67,717,27,192,1,Feb 24
Serbia,785,44,16,3,42,727,62,90,2,Mar 05
Slovenia,756,26,11,,10,735,28,364,5,Mar 03
Estonia,715,36,3,,20,692,10,539,2,Feb 26
Diamond Princess,712,,10,,603,99,15,,,Feb 04
Colombia,702,,10,,10,682,29,14,0.2,Mar 05
Hong Kong,642,,4,,118,520,5,86,0.5,Jan 22
Qatar,634,,1,,48,585,6,220,0.3,Feb 28
UAE,611,41,5,2,61,545,2,62,0.5,Jan 28
Egypt,609,,40,,132,437,,6,0.4,Feb 13
New Zealand,589,75,1,,63,525,2,122,0.2,Feb 27
Algeria,584,73,35,4,37,512,,13,0.8,Feb 24
Iraq,547,,42,,143,362,,14,1,Feb 21
Morocco,516,37,29,3,14,473,1,14,0.8,Mar 01
Bahrain,515,16,4,,279,232,2,303,2,Feb 23
Lithuania,484,24,7,,1,476,5,178,3,Feb 27
Armenia,482,58,3,,30,449,15,163,1,Feb 29
Ukraine,480,5,11,1,6,463,,11,0.3,Mar 02
Hungary,447,39,15,2,34,398,6,46,2,Mar 03
Lebanon,446,8,11,1,35,400,3,65,2,Feb 20
Latvia,376,29,,,1,375,3,199,,Mar 01
Bulgaria,359,13,8,,17,334,13,52,1,Mar 06
Bosnia and Herzegovina,358,35,9,3,17,332,1,109,3,Mar 04
Slovakia,336,22,,,7,329,1,62,,Mar 05
Andorra,334,,6,,6,322,10,4323,78,Mar 01
Costa Rica,314,,2,,3,309,6,62,0.4,Mar 04
Tunisia,312,,8,,2,302,10,26,0.7,Mar 01
Uruguay,310,6,1,,,309,9,89,0.3,Mar 12
Taiwan,306,8,5,2,39,262,,13,0.2,Jan 20
Kazakhstan,302,18,1,,21,280,,16,0.05,Mar 12
Moldova,298,35,2,,15,281,44,74,0.5,Mar 06
North Macedonia,285,26,7,1,12,266,1,137,3,Feb 25
Azerbaijan,273,64,4,,26,243,23,27,0.4,Feb 27
Kuwait,266,11,,,72,194,13,62,,Feb 23
Jordan,259,,4,1,18,237,3,25,0.4,Mar 01
San Marino,230,6,25,3,13,192,16,6778,737,Feb 26
Cyprus,230,16,7,1,15,208,3,190,6,Mar 08
Runion,224,41,,,1,223,,250,,Mar 10
Albania,223,11,11,1,44,168,7,77,4,Mar 07
Burkina Faso,222,,12,,23,187,,11,0.6,Mar 08
Vietnam,203,9,,,55,148,3,2,,Jan 22
Oman,179,12,,,29,150,3,35,,Feb 23
Afghanistan,170,50,4,,2,164,,4,0.1,Feb 23
Cuba,170,31,4,1,4,162,2,15,0.4,Mar 10
Faeroe Islands,168,9,,,70,98,1,3438,,Mar 03
Ivory Coast,165,,1,,4,160,,6,0.04,Mar 10
Senegal,162,20,,,27,135,,10,,Mar 01
Malta,156,5,,,2,154,4,353,,Mar 06
Ghana,152,,5,,2,145,1,5,0.2,Mar 11
Belarus,152,58,,,32,120,2,16,,Feb 27
Uzbekistan,149,5,2,,7,140,8,4,0.06,Mar 14
Channel Islands,141,33,2,,,139,,811,12,Mar 08
Cameroon,139,,6,,5,128,,5,0.2,Mar 05
Honduras,139,29,3,,3,133,4,14,0.3,Mar 10
Venezuela,129,10,3,,39,87,6,5,0.1,Mar 12
Mauritius,128,21,3,,,125,1,101,2,Mar 17
Brunei,127,1,1,,38,88,3,290,2,Mar 08
Sri Lanka,122,5,2,1,15,105,5,6,0.09,Jan 26
Palestine,115,6,1,,18,96,,23,0.2,Mar 04
Nigeria,111,,1,,3,107,,0.5,0.00,Feb 27
Cambodia,107,4,,,21,86,1,6,,Jan 26
Guadeloupe,106,,4,,17,85,10,265,10,Mar 12
Georgia,100,9,,,18,82,6,25,,Feb 25
Bolivia,97,16,4,3,,93,3,8,0.3,Mar 09
Kyrgyzstan,94,10,,,3,91,,14,,Mar 17
Martinique,93,,1,,,92,12,248,3,Mar 04
Montenegro,91,6,1,,,90,1,145,2,Mar 16
Trinidad and Tobago,82,4,3,,1,78,,59,2,Mar 11
Mayotte,82,19,,,10,72,3,301,,Mar 13
DRC,81,,8,,2,71,,0.9,0.09,Mar 09
Rwanda,70,,,,,70,,5,,Mar 13
Gibraltar,69,4,,,34,35,,2048,,Mar 02
Paraguay,64,5,3,,1,60,3,9,0.4,Mar 06
Liechtenstein,62,6,,,,62,,1626,,Mar 02
Kenya,50,8,1,,1,48,2,0.9,0.02,Mar 12
Aruba,50,,,,1,49,,468,,Mar 12
Bangladesh,49,1,5,,19,25,1,0.3,0.03,Mar 07
Isle of Man,49,7,,,,49,,576,,Mar 18
Monaco,46,,1,,1,44,,1172,25,Feb 27
French Guiana,43,,,,6,37,,144,,Mar 06
Madagascar,39,,,,,39,,1,,Mar 19
Macao,38,1,,,10,28,,59,,Jan 21
Guatemala,36,2,1,,10,25,1,2,0.06,Mar 12
Jamaica,36,4,1,,2,33,,12,0.3,Mar 09
French Polynesia,35,5,,,,35,2,125,,Mar 10
Zambia,35,6,,,,35,,2,,Mar 17
Barbados,33,,,,,33,,115,,Mar 16
Uganda,33,,,,,33,,0.7,,Mar 20
Togo,30,5,1,,1,28,,4,0.1,Mar 05
El Salvador,30,6,,,,30,5,5,,Mar 18
Mali,25,7,2,1,,23,,1,0.10,Mar 24
Ethiopia,23,2,,,4,19,1,0.2,,Mar 12
Niger,22,4,3,2,,19,,0.9,0.1,Mar 18
Bermuda,22,,,,2,20,,353,,Mar 17
Guinea,22,6,,,,22,,2,,Mar 12
Congo,19,,,,,19,,3,,Mar 14
Tanzania,19,5,,,1,18,,0.3,,Mar 15
Djibouti,18,,,,,18,,18,,Mar 17
Maldives,17,,,,13,4,,31,,Mar 06
Saint Martin,15,4,1,1,2,12,,388,26,Feb 29
Haiti,15,,,,1,14,,1,,Mar 19
New Caledonia,15,,,,,15,,53,,Mar 17
Bahamas,14,,,,1,13,,36,,Mar 14
Myanmar,14,4,,,,14,,0.3,,Mar 22
Cayman Islands,12,,1,,,11,,183,15,Mar 12
Equatorial Guinea,12,,,,,12,,9,,Mar 13
Eritrea,12,,,,,12,,3,,Mar 20
Mongolia,12,,,,2,10,,4,,Mar 09
Curaao,11,3,1,,2,8,,67,6,Mar 12
Dominica,11,,,,,11,,153,,Mar 21
Namibia,11,,,,2,9,,4,,Mar 13
Greenland,10,,,,2,8,,176,,Mar 15
Syria,9,,1,,,8,,0.5,0.06,Mar 21
Grenada,9,,,,,9,,80,,Mar 21
Saint Lucia,9,,,,1,8,,49,,Mar 12
Eswatini,9,,,,,9,,8,,Mar 13
Guyana,8,,1,,,7,,10,1,Mar 11
Guinea-Bissau,8,6,,,,8,,4,,Mar 24
Laos,8,,,,,8,,1,,Mar 23
Libya,8,,,,,8,,1,,Mar 23
Mozambique,8,,,,,8,,0.3,,Mar 21
Seychelles,8,,,,,8,,81,,Mar 13
Suriname,8,,,,,8,,14,,Mar 12
Angola,7,,2,,,5,,0.2,0.06,Mar 19
Gabon,7,,1,,,6,,3,0.4,Mar 12
Zimbabwe,7,,1,,,6,,0.5,0.07,Mar 19
Antigua and Barbuda,7,,,,,7,,71,,Mar 12
Saint Kitts and Nevis,7,5,,,,7,,132,,Mar 24
Sudan,6,,2,1,,4,,0.1,0.05,Mar 12
Cabo Verde,6,,1,,,5,,11,2,Mar 19
Benin,6,,,,,6,,0.5,,Mar 15
Vatican City,6,,,,,6,,7491,,Mar 05
St. Barth,6,1,,,1,5,,607,,Feb 29
Sint Maarten,6,,,,,6,,140,,Mar 17
Nepal,5,,,,1,4,,0.2,,Jan 23
Chad,5,2,,,,5,,0.3,,Mar 18
Fiji,5,,,,,5,,6,,Mar 18
Mauritania,5,,,,2,3,,1,,Mar 12
Montserrat,5,,,,,5,,1002,,Mar 17
Turks and Caicos,5,1,,,,5,,129,,Mar 22
Gambia,4,,1,,,3,,2,0.4,Mar 16
Nicaragua,4,,1,,,3,,0.6,0.2,Mar 18
Bhutan,4,,,,,4,,5,,Mar 05
Belize,3,1,,,,3,,8,,Mar 22
CAR,3,,,,,3,,0.6,,Mar 14
Liberia,3,,,,,3,,0.6,,Mar 15
Somalia,3,,,,,3,,0.2,,Mar 15
MS Zaandam,2,,,,,2,,,,Mar 26
Anguilla,2,,,,,2,,133,,Mar 25
British Virgin Islands,2,,,,,2,,66,,Mar 24
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
St. Vincent Grenadines,1,,,,1,0,,9,,Mar 10
Timor-Leste,1,,,,,1,,0.8,,Mar 20
China,81470,31,3304,4,75700,2466,633,57,2,Jan 10
