Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
Jamaica,8,,,,,8,,2.7
Cambodia,7,,,,1,6,,0.4
Paraguay,7,1,,,,7,1,1.0
New Zealand,6,,,,,6,,1.2
French Guiana,6,,,,,6,,
Kazakhstan,6,2,,,,6,,0.3
Martinique,6,3,,,,6,,
Moldova,6,,,,,6,,1.5
Runion,5,,,,,5,,
Turkey,5,,,,,5,,0.1
Cuba,4,,,,,4,,0.4
Liechtenstein,4,,,,,4,,
Uruguay,4,,,,,4,,1.2
Ukraine,3,,1,,,2,,0.1
Bangladesh,3,,,,2,1,,
Channel Islands,3,,,,,3,,
French Polynesia,3,,,,,3,,
Puerto Rico,3,,,,,3,,1.0
Monaco,2,,,,,2,,
Nigeria,2,,,,,2,,
Aruba,2,,,,,2,,
Burkina Faso,2,,,,,2,,0.1
Cameroon,2,,,,,2,,0.1
DRC,2,,,,,2,,
Ghana,2,,,,,2,,0.1
Honduras,2,,,,,2,,0.2
Namibia,2,2,,,,2,,0.8
Saint Martin,2,,,,,2,,
Trinidad and Tobago,2,1,,,,2,,1.4
Venezuela,2,,,,,2,,0.1
Guyana,1,,1,,,0,,
Sudan,1,,1,,,0,,
Andorra,1,,,,,1,,
Jordan,1,,,,1,0,,0.1
Nepal,1,,,,1,0,,
Antigua and Barbuda,1,,,,,1,,
Bhutan,1,,,,,1,,
Cayman Islands,1,,,,,1,,
Ivory Coast,1,,,,,1,,
Curaao,1,,,,,1,,
Ethiopia,1,,,,,1,,
Gabon,1,,,,,1,,0.4
Gibraltar,1,,,,1,0,,
Guadeloupe,1,,,,,1,,
Guatemala,1,,,,,1,,0.1
Guinea,1,,,,,1,,0.1
Vatican City,1,,,,,1,,
Kenya,1,,,,,1,,
Mauritania,1,,,,,1,,0.2
Mongolia,1,,,,,1,,0.3
Rwanda,1,1,,,,1,,0.1
St. Barth,1,,,,,1,,
Saint Lucia,1,,,,,1,,
St. Vincent Grenadines,1,,,,,1,,
Suriname,1,,,,,1,,
Eswatini,1,1,,,,1,,0.9
Togo,1,,,,,1,,0.1
U.S. Virgin Islands,1,1,,,,1,,
