Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,TotDeaths/1M pop
Lebanon,333,15,4,,8,321,4,49,0.6
UAE,333,85,2,,52,279,2,34,0.2
Armenia,265,16,,,16,249,6,89,
Algeria,264,,19,,65,180,,6,0.4
Lithuania,255,46,4,2,1,250,1,94,1
Taiwan,235,19,2,,29,204,,10,0.08
Hungary,226,39,10,1,21,195,6,23,1
Latvia,221,24,,,1,220,,117,
Bulgaria,220,2,3,,4,213,8,32,0.4
Slovakia,216,12,,,7,209,2,40,
New Zealand,205,,,,22,183,,43,
Kuwait,195,4,,,43,152,6,46,
Uruguay,189,,,,,189,3,54,
Andorra,188,24,1,,1,186,6,2433,13
San Marino,187,,21,,4,162,12,5511,619
Costa Rica,177,,2,,2,173,4,35,0.4
North Macedonia,177,29,2,,1,174,1,85,1.0
Tunisia,171,57,4,,2,165,11,14,0.3
Morocco,170,,5,,6,159,1,5,0.1
Bosnia and Herzegovina,168,,3,,2,163,1,51,0.9
Jordan,154,,,,1,153,,15,
Albania,146,23,5,,17,124,3,51,2
Vietnam,141,7,,,17,124,3,1,
Faeroe Islands,132,10,,,38,94,2,2701,
Malta,129,19,,,2,127,1,292,
Moldova,125,,1,,2,122,20,31,0.2
Cyprus,124,,3,,3,118,3,103,2
Ukraine,116,14,4,1,1,111,,3,0.09
Burkina Faso,114,,4,,7,103,,5,0.2
Runion,111,17,,,1,110,,124,
Brunei,109,5,,,2,107,1,249,
Sri Lanka,102,,,,3,99,2,5,
Oman,99,15,,,17,82,,19,
Senegal,99,13,,,9,90,,6,
Cambodia,98,7,,,6,92,1,6,
Azerbaijan,93,6,2,1,10,81,6,9,0.2
Venezuela,91,7,,,15,76,2,3,
Belarus,86,5,,,29,57,2,9,
Kazakhstan,80,8,,,,80,,4,
Afghanistan,79,5,2,1,2,75,,2,0.05
Guadeloupe,73,,1,,,72,4,182,2
Georgia,73,3,,,10,63,1,18,
Ivory Coast,73,,,,2,71,,3,
Cameroon,70,4,1,,2,67,,3,0.04
Ghana,68,15,3,1,,65,,2,0.10
Palestine,62,2,,,16,46,,12,
Martinique,57,,1,,,56,7,152,3
Trinidad and Tobago,57,,,,,57,,41,
Uzbekistan,56,6,,,,56,4,2,
Montenegro,52,5,1,,,51,,83,2
Liechtenstein,51,,,,,51,,1338,
DRC,48,3,2,,,46,,0.5,0.02
Mauritius,48,6,2,,,46,1,38,2
Cuba,48,,1,,1,46,2,4,0.09
Nigeria,46,2,1,,2,43,,0.2,0.00
Kyrgyzstan,44,2,,,,44,,7,
Rwanda,40,,,,,40,,3,
Bangladesh,39,,5,1,7,27,,0.2,0.03
Channel Islands,39,3,,,,39,,224,
Paraguay,37,10,3,1,,34,1,5,0.4
Honduras,36,6,,,,36,,4,
Mayotte,36,,,,,36,,132,
Bolivia,32,3,,,,32,,3,
Macao,30,1,,,10,20,,46,
Jamaica,25,4,1,,2,22,,8,0.3
French Polynesia,25,,,,,25,,89,
Kenya,25,,,,,25,,0.5,
Monaco,23,,,,1,22,,586,
French Guiana,23,,,,6,17,,77,
Isle of Man,23,,,,,23,,270,
Togo,23,3,,,1,22,,3,
Guatemala,21,,1,,,20,,1,0.06
Madagascar,19,2,,,,19,,0.7,
Barbados,18,,,,,18,,63,
Aruba,17,,,,1,16,,159,
Gibraltar,15,,,,5,10,,445,
New Caledonia,14,4,,,,14,,49,
Uganda,14,5,,,,14,,0.3,
Maldives,13,,,,8,5,,24,
Ethiopia,12,,,,,12,,0.1,
Tanzania,12,,,,,12,,0.2,
Zambia,12,9,,,,12,,0.7,
Djibouti,11,8,,,,11,,11,
Mongolia,10,,,,,10,,3,
El Salvador,9,4,,,,9,,1,
Equatorial Guinea,9,,,,,9,,6,
Saint Martin,8,,,,,8,,207,
Niger,7,4,1,1,,6,,0.3,0.04
Dominica,7,,,,,7,,97,
Haiti,7,,,,,7,,0.6,
Namibia,7,,,,2,5,,3,
Seychelles,7,,,,,7,,71,
Suriname,7,,,,,7,,12,
Cayman Islands,6,,1,,,5,,91,15
Curaao,6,,1,,,5,,37,6
Gabon,6,,1,,,5,,3,0.4
Benin,6,,,,,6,,0.5,
Bermuda,6,,,,,6,,96,
Guyana,5,,1,,,4,,6,1
Bahamas,5,,,,1,4,,13,
Fiji,5,1,,,,5,,6,
Greenland,5,,,,2,3,,88,
Cabo Verde,4,1,1,,,3,,7,2
Congo,4,,,,,4,,0.7,
Guinea,4,,,,,4,,0.3,
Vatican City,4,,,,,4,,4994,
Eswatini,4,,,,,4,,3,
Gambia,3,,1,,,2,,1,0.4
Sudan,3,,1,,,2,,0.07,0.02
Zimbabwe,3,,1,,,2,,0.2,0.07
Nepal,3,1,,,1,2,,0.1,
Angola,3,,,,,3,,0.09,
Antigua and Barbuda,3,,,,,3,,31,
CAR,3,,,,,3,,0.6,
Chad,3,,,,,3,,0.2,
Laos,3,1,,,,3,,0.4,
Liberia,3,,,,,3,,0.6,
Mozambique,3,,,,,3,,0.10,
Myanmar,3,,,,,3,,0.06,
St. Barth,3,,,,,3,,304,
Saint Lucia,3,,,,,3,,16,
Bhutan,2,,,,,2,,3,
Guinea-Bissau,2,2,,,,2,,1,
Mali,2,2,,,,2,,0.10,
Mauritania,2,,,,,2,,0.4,
Nicaragua,2,,,,,2,,0.3,
Sint Maarten,2,,,,,2,,47,
Belize,1,,,,,1,,3,
Eritrea,1,,,,,1,,0.3,
Grenada,1,,,,,1,,9,
Libya,1,,,,,1,,0.1,
Montserrat,1,,,,,1,,200,
Papua New Guinea,1,,,,,1,,0.1,
St. Vincent Grenadines,1,,,,,1,,9,
Somalia,1,,,,,1,,0.06,
Syria,1,,,,,1,,0.06,
Timor-Leste,1,,,,,1,,0.8,
Turks and Caicos,1,,,,,1,,26,
