Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
Guadeloupe,27,9,,,,27,,67
Afghanistan,22,,,,1,21,,0.6
Dominican Republic,21,,1,,,20,,2
Burkina Faso,20,5,1,1,,19,,1.0
New Zealand,20,,,,,20,,4
Martinique,19,4,1,,,18,,51
Liechtenstein,19,,,,,19,,498
Macao,17,4,,,10,7,,26
Uzbekistan,15,4,,,,15,,0.4
Ukraine,14,,2,,,12,,0.3
Bangladesh,14,4,1,1,3,10,,0.09
Jamaica,13,,,,2,11,,4
Maldives,13,,,,,13,,24
Bolivia,12,,,,,12,,1
Runion,12,3,,,,12,,13
French Guiana,11,,,,,11,,37
Paraguay,11,2,,,,11,1,2
Rwanda,11,4,,,,11,,0.8
Cameroon,10,,,,,10,,0.4
Cuba,10,3,,,,10,,0.9
Monaco,9,,,,,9,,229
Honduras,9,1,,,,9,,0.9
Guatemala,8,,1,,,7,,0.4
Nigeria,8,5,,,1,7,,0.04
Gibraltar,8,5,,,2,6,,237
Guam,8,3,,,,8,,47
DRC,7,4,,,,7,,0.08
Ghana,7,,,,,7,,0.2
Kenya,7,3,,,,7,,0.1
Trinidad and Tobago,7,2,,,,7,,5
Channel Islands,6,,,,,6,,35
Ivory Coast,6,2,,,1,5,,0.2
Ethiopia,6,,,,,6,,0.05
Mongolia,6,1,,,,6,,2
Seychelles,6,2,,,,6,,61
Puerto Rico,5,,,,,5,,2
Guyana,4,,1,,,3,,5
Aruba,4,1,,,,4,,37
Equatorial Guinea,4,3,,,,4,,3
Curaao,3,,,,,3,,18
French Polynesia,3,,,,,3,,11
Gabon,3,,,,,3,,1
Kyrgyzstan,3,3,,,,3,,0.5
Mauritius,3,3,,,,3,,2
Mayotte,3,,,,,3,,11
St. Barth,3,,,,,3,,304
Saint Martin,3,1,,,,3,,78
Tanzania,3,2,,,,3,,0.05
Sudan,2,1,1,,,1,,0.05
Barbados,2,,,,,2,,7
Benin,2,1,,,,2,,0.2
Greenland,2,1,,,,2,,35
Liberia,2,,,,,2,,0.4
Mauritania,2,1,,,,2,,0.4
Montenegro,2,,,,,2,,3
Namibia,2,,,,,2,,0.8
New Caledonia,2,2,,,,2,,7
Saint Lucia,2,,,,,2,,11
U.S. Virgin Islands,2,,,,,2,,19
Zambia,2,2,,,,2,,0.1
Cayman Islands,1,,1,,,0,,15
Nepal,1,,,,1,0,,0.03
Antigua and Barbuda,1,,,,,1,,10
Bahamas,1,,,,,1,,3
Bhutan,1,,,,,1,,1
CAR,1,,,,,1,,0.2
Congo,1,,,,,1,,0.2
Djibouti,1,1,,,,1,,1
Gambia,1,,,,,1,,0.4
Guinea,1,,,,,1,,0.08
Vatican City,1,,,,,1,,1248
Montserrat,1,1,,,,1,,200
St. Vincent Grenadines,1,,,,,1,,9
Somalia,1,,,,,1,,0.06
Suriname,1,,,,,1,,2
Eswatini,1,,,,,1,,0.9
Togo,1,,,,,1,,0.1
